Category	Role
Composer	String Arrangements
Composer	String Quartet Arrangement
Composer	Strings Arrangement
Composer	Strings Orchestration
Composer	Strings Orchestrator
Composer	Struck Idiophone Arrangement
Composer	Supervising Orchestrator
Composer	Symphonic Arrangement
Composer	Symphonic Arrangements
Composer	Synthesizer Arrangement
Composer	Synthesizer Arrangements
Composer	Synthesizer Orchestration
Composer	Synthesizer String Arrangement
Composer	Synthesizer Strings Arrangement
Composer	Tabla Arrangement
Composer	Tambourine Arrangement
Composer	Tenor Sax Arrangements
Composer	Tenor Saxophone Arrangement
Composer	Theorbo Lute Arrangement
Composer	Theremin Arrangement
Composer	Trombone Arrangement
Composer	Trumpet Arrangement
Composer	Tuba Arrangement
Composer	Turntable Arrangement
Composer	Ukulele Arrangement
Composer	Vacuum Cleaner Arrangement
Composer	Valved Brass Instruments Arrangement
Composer	Vibraphone Arrangement
Composer	Vihuela Arrangement
Composer	Viola Arrangement
Composer	Viola da Gamba Arrangement
Composer	Violin Arrangement
Composer	Virginal Arrangement
Composer	Vocal Arrangement
Composer	Vuvuzela Arrangement
Composer	Whistle Arrangement
Composer	Wind Arrangement
Composer	Wind Arrangements
Composer	Woodwind Arrangement
Composer	Words By
Composer	Writer
Composer	Written By
Composer	Written-By
Composer	Written-By [Uncredited]
Composer	Wurlitzer Electric Piano Arrangement
Composer	Xiao Arrangement
Composer	Yangqin Arrangement
Conductor	Assistant Choir Director
Conductor	Assistant Chorus Master
Conductor	Assistant Conductor
Conductor	Associate Conductor
Conductor	Band Master
Conductor	Bandleader
Conductor	Brass Conductor
Conductor	Chant Conductor
Conductor	Children's Choirmaster
Conductor	Choir Conductor
Conductor	Choir Director
Conductor	Choir Master
Conductor	Chorus Master
Conductor	Conductor
Conductor	Conductor [Dirijor]
Conductor	Conductor [Orchestra]
Conductor	Conductor [Strings]
Conductor	Guest Chorus Master
Conductor	Guest Conductor
Conductor	Handbell Choir Director
Conductor	Horn Conductor
Conductor	Recording Conductor
Conductor	Score Conductor
Conductor	Second Conductor
Conductor	Session Conductor
Conductor	Stage Music Conductor
Conductor	String Conductor
Conductor	Vocal Conductor
Ensemble	Arp String Ensemble
Ensemble	Band
Ensemble	Bar Band
Ensemble	Big Band
Ensemble	Boy Band
Ensemble	Boy Group
Ensemble	Boy's Choir
Ensemble	Boys Choir
Ensemble	Brass Band
Ensemble	Brass Ensemble
Ensemble	Chamber Ensemble
Ensemble	Children's Chorus
Ensemble	Choir
Ensemble	Choir/Chorus
Ensemble	Chorus
Ensemble	Electronic Ensemble
Ensemble	Ensemble
Ensemble	Experimental Big Band
Ensemble	Folk Band
Ensemble	Girl's Choir
Ensemble	Group
Ensemble	Harmony Vocal Group
Ensemble	Horn Ensemble
Ensemble	Jazz Band
Ensemble	Mariachi Orchestra
Ensemble	Modern Big Band
Ensemble	Orchestra
Ensemble	Orchestra (Chamber)
Ensemble	Orchestra (Dance)
Ensemble	Orchestra Vibes
Ensemble	Percussion Ensemble
Ensemble	Performing Orchestra
Ensemble	Piano Quartet
Ensemble	Piano Trio
Ensemble	Pop Band
Ensemble	Renaissance Band
Ensemble	Rock Band
Ensemble	Saxophone Quartet
Ensemble	Shell Choir
Ensemble	Small Group
Ensemble	String Ensemble
Ensemble	String Quartet
Ensemble	String Trio
Ensemble	Vocal Ensemble
Ensemble	Vocal Group
